College Name,Zone,1st year,Total No of students
SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,6,48
SAPTHAGIRI COLLEGE OF ENGINEERING,Zone VII : Dharmapuri,0,146
SARANATHAN COLLEGE OF ENGINEERING,Zone XVIII : Trichy,684,2389
SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone V : Tindivanam,123,216
SASURIE COLLEGE OF ENGINEERING ,Zone XI : Erode,80,173
SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XX : Tirunelveli-II,144,849
SBM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,207,1427
SCAD College of Engineering and Technology ,Zone XVI : Tirunelveli-I,205,916
SELVAM COLLEGE OF TECHNOLOGY,Zone VIII : Salem,403,1074
SHANMUGANATHAN ENGINEERING COLLEGE,Zone XIV : Karaikudi,110,479
SHIVANI ENGINEERING COLLEGE,Zone XVIII : Trichy,190,276
SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE,Zone XI : Erode,264,997
SHREENIVASA ENGINEERING COLLEGE,Zone VII : Dharmapuri,207,674
SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING,Zone V : Tindivanam,0,41
SHRI ANGALA AMMAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XII : Ariyalur,0,51
SIVAJI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVII : Nagercoil,62,185
SKR Engineering College ,Zone II : Chennai-II,102,240
SMK FOMRA INSTITUTE OF TECHNOLOGY,Zone III : Chennai-III,75,276
SMR EAST COAST COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIII : Pattukkottai,0,15
SREE KRISHNA COLLEGE OF ENGINEERING,Zone VI : Arni,10,362
SREE SAKTHI ENGINEERING COLLEGE,Zone IX : Coimbatore - I,190,739
SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone II : Chennai-II,106,389
SRG ENGINEERING COLLEGE ,Zone VIII : Salem,70,464
SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE,Zone VI : Arni,174,682
SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,41,370
SRI KRISHNA COLLEGE OF ENGINEERING,Zone I : Chennai-I,26,368
SRI KRISHNA INSTITUTE OF TECHNOLOGY,Zone IV : MIT - Chromepet,1,52
SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIV : Karaikudi,220,736
SRI RAMAKRISHNA COLLEGE OF ENGINEERING,Zone XII : Ariyalur,208,541
SRI RAMANUJAR ENGINEERING COLLEGE,Zone IV : MIT - Chromepet,179,673
SRI RANGANATHAR INSTITUTE OF ENGINEERING & TECHNOLOGY,Zone IX : Coimbatore - I,178,788
SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,Zone V : Tindivanam,62,439
SRI SAI RANGANATHAN ENGINEERING COLLEGE,Zone IX : Coimbatore - I,109,439
SRI SUBRAMANYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,12,39
SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,98,958
SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,Zone I : Chennai-I,14,220
SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,Zone IV : MIT - Chromepet,131,456
SRM TRP ENGINEERING COLLEGE,Zone XII : Ariyalur,538,1462
SSM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,293,1121
ST.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY,Zone XIV : Karaikudi,183,462
ST.MOTHER THERESA ENGINEERING COLLEGE,Zone XX : Tirunelveli-II,137,613
STELLA MARY'S COLLEGE OF ENGINEERING,Zone XVII : Nagercoil,326,1000
"STUDY WORLD COLLEGE OF ENGINEERING, COIMBATORE",Zone X : Coimbatore - II,112,457
SUGUNA COLLEGE OF ENGINEERING,Zone IX : Coimbatore - I,237,597
SURYA COLLEGE OF ENGINEERING,Zone XII : Ariyalur,31,203
Sardar Raja College of Engineering,Zone XVI : Tirunelveli-I,104,266
Sembodai Rukmani varatharajan engineering college,Zone XIII : Pattukkottai,6,73
"Sengunthar College of Engineering, Tiruchengode ",Zone XI : Erode,0,511
Shree Sathyam College of Engineering and Technology ,Zone VIII : Salem,157,325
Sir Issac Newton College of Engineering and Technology,Zone XIII : Pattukkottai,299,1026
Solamalai College of Engineering,Zone XXII : Madurai,153,515
Sree Sowdambika College of Engineering Aruppukottai ,Zone XXII : Madurai,130,576
Sri Bharathi Engineering College for Women,Zone XIV : Karaikudi,122,271
Sri Krishna Engineering College,Zone IV : MIT - Chromepet,22,79
Sri Vidya college of engineering and technology,Zone XXII : Madurai,81,248
Sri muthukumaran institute of Technology ,Zone II : Chennai-II,221,802
Sri shanmugha college of engineering and technology,Zone XI : Erode,362,973
St Joseph college of Engineering ,Zone II : Chennai-II,265,1073
St. Anne's College of Engineering and Technology,Zone XXI : Villupuram,170,508
"St.Joseph's College of Engineering and Technology , Thanjavur ",Zone XIII : Pattukkottai,204,568
